model,runtime,inference_time,fps,accurate_time,device,half,int8,mAP50,mAP75
yolov8n.pt,BASE,193.8,5.2,193.8438057899475,cpu,False,False,0.8879474081130428,0.6375569549426173
yolov8s.pt,BASE,538.8,1.9,538.7956380844116,cpu,False,False,0.9469403013347323,0.8068723893065998
yolov8m.pt,BASE,1364.0,0.7,1363.9872550964355,cpu,False,False,0.9287745098039216,0.8472408451363828
yolov8l.pt,BASE,2734.6,0.4,2734.5776319503784,cpu,False,False,0.9758593750000001,0.861819577991453
yolov8x.pt,BASE,4182.6,0.2,4182.556116580963,cpu,False,False,0.9773658192090395,0.8856308851224105
