model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data\models\yolov8n.pt,BASE,502.9,2.0,502.92611598968506,cpu,0,0,0.8879474081130428,0.6375569549426173,325.80065727233887,293.8191890716553,575.6454467773438,483.7069511413574
data\models\yolov8s.pt,BASE,1240.3,0.8,1240.2556478977203,cpu,0,0,0.9469403013347323,0.8068723893065998,969.4015979766846,721.5578556060791,1393.1400775909424,1218.2590961456299
data\models\yolov8m.pt,BASE,1240.3,0.3,1240.2556478977203,cpu,0,0,0.9469403013347323,0.8068723893065998,969.4015979766846,721.5578556060791,1393.1400775909424,1218.2590961456299
