model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n.pt,BASE,187.8,5.3,187.77700901031494,cpu,0,0,,,204.34117317199707,122.60580062866211,225.9984016418457,176.90491676330566
data/models/yolov8s.pt,BASE,518.5,1.9,518.5319352149963,cpu,0,0,,,367.0618534088135,320.4383850097656,592.1630859375,503.59630584716797
data/models/yolov8m.pt,BASE,1304.8,0.8,1304.835478067398,cpu,0,0,,,796.3159084320068,782.4549674987793,1344.3551063537598,1294.1803932189941
