model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n.pt,BASE,263.1,3.8,263.106564283371,cpu,0,0,0.8879474081130428,0.6375569549426173,169.83413696289062,153.92494201660156,270.5695629119873,261.5528106689453
data/models/yolov8s.pt,BASE,715.8,1.4,715.8055222034454,cpu,0,0,0.9469403013347323,0.8068723893065998,445.1253414154053,436.9807243347168,723.7026691436768,714.493989944458
data/models/yolov8m.pt,BASE,1814.6,0.6,1814.6270608901978,cpu,0,0,0.9287745098039216,0.8472408451363828,1113.6243343353271,1095.7238674163818,1821.4101791381836,1810.9362125396729
data/models/yolov8l.pt,BASE,3664.6,0.3,3664.57723736763,cpu,0,0,0.9758593750000001,0.861819577991453,2213.9084339141846,2200.5362510681152,3733.8759899139404,3644.2816257476807
