model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n.pt,BASE,1876.0,0.5,1876.0237574577332,cpu,0,0,0.8879474081130428,0.6375569549426173,1203.4103870391846,1136.1050605773926,1909.726858139038,1842.1502113342285
data/models/yolov8s.pt,BASE,4771.2,0.2,4771.215810775757,cpu,0,0,0.9469403013347323,0.8068723893065998,2863.901138305664,2787.3375415802,4863.201141357422,4686.44905090332
data/models/yolov8m.pt,BASE,11569.9,0.1,11569.887152910233,cpu,0,0,0.9287745098039216,0.8472408451363828,7024.43790435791,6904.308080673218,11713.362693786621,11530.216693878174
