model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n_ncnn_base_ncnn_model,yolov8n,504.1,2.0,504.05686020851135,cpu,0,0,0.808564761582811,0.6919060274941214,683.3198070526123,464.4761085510254,720.6249237060547,462.2836112976074
data/models/yolov8n_ncnn_half_ncnn_model,yolov8n,504.5,2.0,504.45772886276245,cpu,1,0,0.8085765697786598,0.6918596743295019,611.4614009857178,468.9068794250488,633.3832740783691,460.5114459991455
data/models/yolov8n_ncnn_int8_ncnn_model,yolov8n,506.0,2.0,506.02553963661194,cpu,0,1,0.808564761582811,0.6919060274941214,598.5064506530762,467.9224491119385,639.4298076629639,461.93718910217285
data/models/yolov8n_tflite_base.tflite,yolov8n,847.9,1.2,847.9382801055908,cpu,0,0,0.808564761582811,0.6919060274941214,936.272382736206,847.7261066436768,860.8417510986328,845.0865745544434
data/models/yolov8n_tflite_int8.tflite,yolov8n,842.2,1.2,842.219203710556,cpu,0,1,0.8085671406431106,0.6919558913308913,913.0470752716064,840.8691883087158,852.7617454528809,839.2515182495117
