model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n_tflite_base.tflite,yolov8n,998.4,1.0,998.4400141239166,cpu,0,0,,,1150.1874923706055,996.4947700500488,1020.0252532958984,994.898796081543
data/models/yolov8n_tflite_int8.tflite,yolov8n,999.8,1.0,999.795994758606,cpu,0,1,,,1125.0128746032715,997.323751449585,1015.6509876251221,997.3337650299072
data/models/yolov8n_onnx_base.onnx,yolov8n,514.9,1.9,514.874449968338,cpu,0,0,,,540.0886535644531,511.13152503967285,653.6810398101807,505.59473037719727
data/models/yolov8n_onnx_int8.onnx,yolov8n,511.3,2.0,511.25332474708557,cpu,0,1,,,540.3804779052734,505.1395893096924,658.9181423187256,503.4780502319336
