model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n.pt,BASE,1992.3,0.5,1992.3497939109802,cpu,0,0,0.8879474081130428,0.6375569549426173,1606.510877609253,1204.857587814331,2104.748249053955,1968.468427658081
data/models/yolov8s.pt,BASE,5047.8,0.2,5047.842329740524,cpu,0,0,0.9469403013347323,0.8068723893065998,3014.3556594848633,2906.557083129883,5217.3120975494385,4931.992530822754
data/models/yolov8m.pt,BASE,12644.0,0.1,12644.009598493576,cpu,0,0,0.9287745098039216,0.8472408451363828,7525.209665298462,7311.119556427002,12989.516258239746,12491.583824157715
